# CGB dial sweep, per seed, both calibrations (pot figures EUR000 real at retirement) | commit 0adf3bb | 2026-08-21 | N=1000 | seeds=[42, 137, 271] | regenerated for docs/VALIDATION_REPORT.md
# lhp_vol / lhp_real_return: LHP sub-portfolio annualised stats over accumulation, decimals.
calibration,world,seed,cgb_weight,median,delta_vs_zero,p5,p25,p75,p95,lhp_vol,lhp_real_return
flat_1.8,baseline,271,0.0,1469.731,0.0,1031.678,1275.378,1698.357,2074.936,0.134251,0.027862
flat_1.8,baseline,271,0.01,1466.564,-3.167,1031.707,1274.069,1695.865,2071.311,0.132673,0.027771
flat_1.8,baseline,271,0.02,1464.094,-5.637,1032.569,1273.294,1693.511,2065.926,0.131093,0.027683
flat_1.8,baseline,271,0.03,1463.457,-6.274,1030.728,1272.889,1690.622,2060.661,0.12956,0.027605
flat_1.8,baseline,271,0.05,1460.658,-9.073,1032.262,1267.855,1682.725,2053.855,0.126444,0.027448
flat_1.8,repression,271,0.0,1166.587,0.0,844.575,1009.753,1340.228,1625.737,0.147808,0.020574
flat_1.8,repression,271,0.01,1166.15,-0.437,845.175,1010.445,1338.779,1623.859,0.146101,0.020604
flat_1.8,repression,271,0.02,1166.241,-0.346,846.226,1010.235,1339.149,1622.848,0.14438,0.020609
flat_1.8,repression,271,0.03,1166.487,-0.099,847.371,1010.122,1338.878,1621.402,0.142644,0.020591
flat_1.8,repression,271,0.05,1167.653,1.067,849.206,1011.886,1335.65,1616.003,0.139369,0.020627
