date,USA,Europe,Japan,AsiaExJP,EM,China,India,Korea,Taiwan,World,ACWI
2001-03-30,-0.066158887810819647,-0.07751720636913817,-0.030135207108676065,-0.11385723972301415,-0.10388636699749972,-0.17707788160678598,-0.19399400332260705,-0.14856690337834416,-0.01551924145660934,-0.068119259141471586,-0.070075208862486235
2001-04-30,0.074757455048123173,0.068651917402874366,0.065730633655764439,0.00051858427657861883,0.048116194373758164,0.096676723098632761,-0.022880985742907606,0.1309860056358404,-0.07321868686813289,0.071123848301226936,0.069900481846368615
2001-05-31,0.005546399341792168,-0.049980303277940306,-0.0024004481173949869,0.0082214278577163093,0.011511322451985918,0.026928642076693456,0.038775180513107604,0.073000426450587783,-0.0714325274892086,-0.013116491630917881,-0.011812386783547946
2001-06-29,-0.023347490907772214,-0.038535939501717312,-0.061409073594181934,-0.019894595095647848,-0.021097743934434494,0.032447549425635804,-0.053788695794617022,-0.058093166471329873,-0.031711776831615482,-0.031977813239520314,-0.031413202616544282
2001-07-31,-0.009670282188964761,0.002483659573192065,-0.077430499000987141,-0.056790000230106934,-0.065755035312660276,-0.14556067832256533,-0.03428806645906237,-0.074227176591657187,-0.11126570574870129,-0.01345646319261644,-0.016099831459693112
2001-08-31,-0.069189594063405566,-0.02638067090656562,-0.025334922127550924,-5.3384867538220992e-05,-0.010076808255941028,-0.24388745055540659,-0.015002118655253967,0.032544565865642201,0.035934627260772865,-0.04934414262135748,-0.047395718608343365
2001-09-28,-0.079846672127892412,-0.10513250232605174,-0.098084772689364899,-0.16297690031814974,-0.1683181058471887,-0.034633709607609316,-0.15012767979569688,-0.1772989615206377,-0.2444162539352302,-0.092388678725604342,-0.096075952042127974
2001-10-31,0.014215428212980009,0.031297130439803325,-0.002061512127756372,0.06525930640068861,0.060167288064192914,0.025182174984554412,0.064678273685862445,0.14563183512054206,0.10060028592946765,0.018915040179062814,0.020878000265283112
2001-11-30,0.073778074189848997,0.039355865577826762,0.010791912039119561,0.13340776540165081,0.09923568365281768,0.09301839797758843,0.097398384199931784,0.2257139717860642,0.12844315448725571,0.057332321144875478,0.059407517985528346
2001-12-31,0.0059751885575205412,0.025293105225670139,-0.069874257878121473,0.086892027880034223,0.076321311525297933,0.0033207549571156194,0.0013824858244986685,0.073986994139873405,0.19703195295187276,0.0061660943928517715,0.0091127754815678828
2002-01-31,-0.014516118732740828,-0.053667479331145213,-0.081515028048030042,0.04564077235453276,0.033185579456044945,-0.098507539713103331,0.017397461093812273,0.074321874891520215,0.045645736458125433,-0.030868384234492962,-0.027996239978145199
2002-02-28,-0.020200260144542747,-0.00016856327272026937,0.040664940627204542,0.02848541587217528,0.0160812239028847,0.0080160837650353131,0.060705060127429447,0.096856889355865672,-0.048655389725978396,-0.0088341234529917337,-0.0076682258055294529
2002-03-29,0.0363578659805983,0.052775757481719358,0.055764490103253697,0.068615663610238201,0.058119691680637194,0.05490278229848946,-0.0065507773063235939,0.085719388280527914,0.085877414027460131,0.043107369498186318,0.043821721851235361
