date,USD,JPY,GBP,CNY,INR,KRW,TWD,HKD
2001-02-28,0.92259999999999998,108.44,0.63839999999999997,7.6375999999999999,42.858899999999998,1157.4000000000001,29.8414,7.2018000000000004
2001-03-30,0.87670000000000003,110.8,0.61990000000000001,7.2827000000000002,41.101900000000001,1171.0999999999999,28.894300000000001,6.8616999999999999
2001-04-30,0.88600000000000001,109.70999999999999,0.61995,7.3338000000000001,41.558399999999999,1168.1900000000001,29.160900000000002,6.9116
2001-05-31,0.84570000000000001,100.81,0.59614999999999996,6.9999000000000002,39.874299999999998,1082.49,28.6692,6.5965999999999996
2001-06-29,0.84899999999999998,105.93000000000001,0.60019999999999996,7.0128000000000004,39.906199999999998,1101.9100000000001,29.172499999999999,6.6086
2001-07-31,0.87360000000000004,109.52,0.61319999999999997,7.2308000000000003,41.295000000000002,1135.6800000000001,30.357600000000001,6.8150000000000004
2001-08-31,0.9123,108.36,0.62580000000000002,7.532,43.232100000000003,1164.3399999999999,31.4359,7.0976999999999997
2001-09-28,0.91139999999999999,108.84999999999999,0.61909999999999998,7.5359999999999996,43.8874,1185.74,31.453199999999999,7.1005000000000003
2001-10-31,0.90229999999999999,110.23999999999999,0.61914999999999998,7.4682000000000004,43.431199999999997,1164.4100000000001,31.152799999999999,7.0372000000000003
2001-11-30,0.89639999999999997,110.68000000000001,0.62849999999999995,7.4173999999999998,42.5533,1136.25,30.8383,6.9892000000000003
2001-12-31,0.89029999999999998,117.14,0.61250000000000004,7.3685999999999998,42.698999999999998,1169.4000000000001,31.1159,6.9508000000000001
2002-01-31,0.85929999999999995,115.75,0.60845000000000005,7.1120999999999999,41.893300000000004,1126.97,29.9801,6.7050000000000001
2002-02-28,0.86939999999999995,115.95999999999999,0.6129,7.1773999999999996,42.191000000000003,1142.96,30.4482,6.7675000000000001
2002-03-29,0.87170000000000003,115.67,0.61119999999999997,7.2112999999999996,42.571599999999997,1156.0799999999999,30.448399999999999,6.7983000000000002
2002-04-30,0.90169999999999995,115.68000000000001,0.61824999999999997,7.4635999999999996,44.094200000000001,1165.4400000000001,31.240200000000002,7.0309999999999997
2002-05-31,0.93420000000000003,116.03,0.63724999999999998,7.7012999999999998,46.024000000000001,1129.9000000000001,31.637,7.2576999999999998
2002-06-28,0.99150000000000005,118.58,0.64770000000000005,8.1902000000000008,48.762700000000002,1188.8800000000001,33.058199999999999,7.7435
2002-07-31,0.97940000000000005,117.18000000000001,0.62605,8.1060999999999996,47.621200000000002,1163.52,32.844099999999997,7.649
2002-08-30,0.98229999999999995,116.34,0.63370000000000004,8.1153999999999993,47.798000000000002,1179.05,33.5154,7.6550000000000002
2002-09-30,0.9879,120.18000000000001,0.62939999999999996,8.1769999999999996,47.644500000000001,1207.7,34.434199999999997,7.7140000000000004
2002-10-31,0.98950000000000005,121.28,0.63249999999999995,8.1798000000000002,47.721699999999998,1207.1900000000001,34.293100000000003,7.7198000000000002
2002-11-29,0.99429999999999996,121.87,0.63895000000000002,8.2225999999999999,47.951599999999999,1188.3499999999999,34.466900000000003,7.7529000000000003
2002-12-31,1.0504,124.62,0.65215000000000001,8.6925000000000008,50.321399999999997,1245.01,36.3553,8.1899999999999995
2003-01-31,1.0768,129.19,0.65244999999999997,8.8824000000000005,51.739800000000002,1259.25,37.254800000000003,8.3701000000000008
2003-02-28,1.0807,127.62,0.68474999999999997,8.9278999999999993,51.390099999999997,1287.4100000000001,37.509599999999999,8.4123999999999999
2003-03-31,1.0902000000000001,128.87,0.69035000000000002,9.0223999999999993,51.7485,1367.3199999999999,37.874000000000002,8.5015000000000001
2003-04-30,1.1164000000000001,132.94,0.69750000000000001,9.2431000000000001,52.695,1357.0699999999999,38.914200000000001,8.7082999999999995
2003-05-30,1.1783999999999999,140.63999999999999,0.71814999999999996,9.7388999999999992,55.700400000000002,1419.04,40.839799999999997,9.1762999999999995
2003-06-30,1.1483000000000001,137.91,0.69469999999999998,9.5067000000000004,53.112000000000002,1370.22,39.745600000000003,8.9564000000000004
2003-07-31,1.1235999999999999,135.38,0.69894999999999996,9.3008000000000006,52.1736,1325.9100000000001,38.669899999999998,8.7637999999999998
2003-08-29,1.0984,128.41999999999999,0.69620000000000004,9.0808,50.026800000000001,1292.55,37.377099999999999,8.5547000000000004
2003-09-30,1.1667000000000001,129.97999999999999,0.70184999999999997,9.6560000000000006,53.469299999999997,1340.4200000000001,39.349499999999999,9.0349000000000004
2003-10-31,1.1593,127.45999999999999,0.68359999999999999,9.5999999999999996,52.770400000000002,1372.6800000000001,39.4041,9.0068000000000001
