date,USDIDR,USDTHB,USDSGD,USDVND,EURUSD,USDCHF,USDCAD,USDAUD,USDNZD
2001-01-31,9440,42.490000000000002,1.7427999999999999,14545,0.93020000000000003,1.6418999999999999,1.4992000000000001,1.8167,2.2530000000000001
2001-02-28,9855,43.094999999999999,1.7444999999999999,14564,0.92259999999999998,1.6679999999999999,1.5329999999999999,1.901,2.3231999999999999
2001-03-30,10425,45.015000000000001,1.8048,14544,0.87670000000000003,1.7427999999999999,1.5757000000000001,2.0594999999999999,2.4823
2001-04-30,11600,45.604999999999997,1.8207,14566,0.88600000000000001,1.7363,1.5369999999999999,1.9518,2.4155000000000002
2001-05-31,11125,45.399999999999999,1.8083,14661,0.84570000000000001,1.7969999999999999,1.546,1.9759,2.4441000000000002
2001-06-29,11390,45.280000000000001,1.8226,14846,0.84899999999999998,1.7921,1.5143,1.9544999999999999,2.4554999999999998
2001-07-31,9500,45.695,1.8027,14943,0.87360000000000004,1.7302,1.528,1.9614,2.4180999999999999
2001-08-31,8863,44.055,1.7406999999999999,15018,0.9123,1.6617999999999999,1.5511999999999999,1.8888,2.2745000000000002
2001-09-28,9688,44.490000000000002,1.7664,14999,0.91139999999999999,1.6204000000000001,1.5791999999999999,2.0356000000000001,2.4603000000000002
2001-10-31,10475,44.715000000000003,1.823,15029,0.90229999999999999,1.6304000000000001,1.5873999999999999,1.9883,2.4327999999999999
2001-11-30,10450,43.920000000000002,1.8311999999999999,15063,0.89639999999999997,1.6415,1.573,1.9162999999999999,2.3984000000000001
2001-12-31,10400,44.204999999999998,1.845,15083,0.89029999999999998,1.6597999999999999,1.5926,1.9629000000000001,2.4013
2002-01-31,10313,44.055,1.8360000000000001,15124,0.85929999999999995,1.7168000000000001,1.5913999999999999,1.9697,2.4009999999999998
2002-02-28,10151,43.700000000000003,1.8311999999999999,15138,0.86939999999999995,1.7011000000000001,1.6046,1.9311,2.3702000000000001
2002-03-29,9825,43.469999999999999,1.8421000000000001,15186,0.87170000000000003,1.6813,1.5949,1.8771,2.2707000000000002
2002-04-30,9320,43.244999999999997,1.8138000000000001,15221,0.90169999999999995,1.6192,1.5684,1.8568,2.2336
2002-05-31,8698,42.340000000000003,1.7887,15247,0.93420000000000003,1.5678000000000001,1.5279,1.7625999999999999,2.081
2002-06-28,8713,41.520000000000003,1.7674000000000001,15273,0.99150000000000005,1.4810000000000001,1.5174000000000001,1.7776000000000001,2.0531999999999999
2002-07-31,9065,42.020000000000003,1.7633000000000001,15320,0.97940000000000005,1.4836,1.5841000000000001,1.8423,2.1455000000000002
2002-08-30,8860,42.189999999999998,1.7498,15330,0.98229999999999995,1.4987999999999999,1.5585,1.8153999999999999,2.1320000000000001
2002-09-30,8994,43.280000000000001,1.7776000000000001,15344,0.9879,1.4752000000000001,1.5849,1.8428,2.1307999999999998
2002-10-31,9220,43.299999999999997,1.7669999999999999,15362,0.98950000000000005,1.478,1.5608,1.8028999999999999,2.0573999999999999
2002-11-29,8970,43.494999999999997,1.7665999999999999,15384,0.99429999999999996,1.4832000000000001,1.5652999999999999,1.7827,2.0074000000000001
2002-12-31,8950,43.125,1.7347999999999999,15401,1.0504,1.3816999999999999,1.5760000000000001,1.7883,1.9101999999999999
2003-01-31,8870,42.719999999999999,1.7383999999999999,15431,1.0768,1.3638999999999999,1.5195000000000001,1.7047000000000001,1.8319000000000001
2003-02-28,8887,42.789999999999999,1.7370000000000001,15430,1.0807,1.3520000000000001,1.4845999999999999,1.6443000000000001,1.7867
2003-03-31,8903,42.844999999999999,1.7645999999999999,15454,1.0902000000000001,1.3535999999999999,1.4690000000000001,1.6534,1.8056000000000001
2003-04-30,8675,42.82,1.7743,15463,1.1164000000000001,1.3565,1.4341999999999999,1.5972999999999999,1.7869999999999999
2003-05-30,8310,41.710000000000001,1.7344999999999999,15471,1.1783999999999999,1.2979000000000001,1.3666,1.5345,1.7375
2003-06-30,8275,42.020000000000003,1.7605999999999999,15496,1.1483000000000001,1.3532999999999999,1.3534999999999999,1.4906999999999999,1.7060999999999999
2003-07-31,8510,41.926000000000002,1.76,15514,1.1235999999999999,1.3711,1.4100999999999999,1.5443,1.7245999999999999
2003-08-29,8485,41.164000000000001,1.7524999999999999,15520,1.0984,1.3998999999999999,1.3865000000000001,1.5416000000000001,1.7295
2003-09-30,8395,40.030000000000001,1.7306999999999999,15554,1.1667000000000001,1.3187,1.3493999999999999,1.4681,1.6808000000000001
2003-10-31,8497,39.893000000000001,1.7411000000000001,15642,1.1593,1.3394999999999999,1.3198000000000001,1.4109,1.6314
2003-11-28,8505,39.911000000000001,1.7234,15626,1.1996,1.2909999999999999,1.3008,1.3808,1.5636000000000001
2003-12-31,8423,39.622999999999998,1.6981999999999999,15642,1.2564,1.2422,1.2965,1.3295999999999999,1.5289999999999999
2004-01-30,8459,39.25,1.6934,15695,1.2478,1.2565,1.3251999999999999,1.3112999999999999,1.4887999999999999
2004-02-27,8450,39.295000000000002,1.6999,15757,1.2493000000000001,1.2623,1.3343,1.2925,1.4559
2004-03-31,8564,39.244999999999997,1.6741999999999999,15723,1.2295,1.2675000000000001,1.3099000000000001,1.3109,1.5035000000000001
2004-04-30,8705,39.991999999999997,1.7013,15720,1.198,1.2956000000000001,1.3722000000000001,1.3858999999999999,1.5975999999999999
2004-05-31,9268,40.549999999999997,1.6978,15743,1.2189000000000001,1.2544,1.3631,1.3988,1.5848
2004-06-30,9400,40.890000000000001,1.7215,15722,1.2169000000000001,1.2535000000000001,1.337,1.4396,1.5819000000000001
2004-07-30,9135,41.32,1.7192000000000001,15748,1.2019,1.2815000000000001,1.3313999999999999,1.4256,1.573
2004-08-31,9375,41.625,1.7093,15760,1.2184999999999999,1.2652000000000001,1.3148,1.415,1.5227999999999999
2004-09-30,9153,41.424999999999997,1.6834,15755,1.2427999999999999,1.246,1.2603,1.375,1.4755
2004-10-29,9100,41.039999999999999,1.6633,15745,1.2798,1.1942999999999999,1.2177,1.341,1.4630000000000001
2004-11-30,9000,39.460000000000001,1.6379999999999999,15773,1.3278000000000001,1.1395999999999999,1.1880999999999999,1.2965,1.3971
2004-12-31,9283,38.899999999999999,1.6329,15773,1.3553999999999999,1.1404000000000001,1.2019,1.2775000000000001,1.3906000000000001
2005-01-31,9165,38.560000000000002,1.6365000000000001,15785,1.3046,1.1878,1.2391000000000001,1.29,1.4068000000000001
2005-02-28,9264,38.253,1.6238999999999999,15803,1.3253999999999999,1.1604000000000001,1.2336,1.2624,1.3745000000000001
2005-03-31,9470,39.118000000000002,1.6508,15818,1.2968,1.1958,1.2099,1.2927999999999999,1.4025000000000001
2005-04-29,9560,39.448,1.6363000000000001,15828,1.2873000000000001,1.1951000000000001,1.2583,1.2783,1.3646
2005-05-31,9510,40.607999999999997,1.6648000000000001,15855,1.2338,1.2452000000000001,1.2526999999999999,1.3217000000000001,1.4180999999999999
2005-06-30,9760,41.314999999999998,1.6876,15849,1.2094,1.2835000000000001,1.2273000000000001,1.3118000000000001,1.4369000000000001
2005-07-29,9805,41.655000000000001,1.6615,15878,1.2122999999999999,1.2894000000000001,1.2233000000000001,1.3184,1.4655
2005-08-31,10300,41.255000000000003,1.6827000000000001,15873,1.2333000000000001,1.2544999999999999,1.1848000000000001,1.3274999999999999,1.4431
2005-09-30,10280,41.045000000000002,1.6914,15900,1.2025999999999999,1.2939000000000001,1.163,1.3099000000000001,1.4444999999999999
2005-10-31,10123,40.780000000000001,1.6954,15893,1.1986000000000001,1.2906,1.1825000000000001,1.3389,1.4298999999999999
2005-11-30,10029,41.219999999999999,1.6918,15913,1.1787000000000001,1.3149999999999999,1.1674,1.3529,1.4226000000000001
2005-12-30,9840,41.009999999999998,1.6627000000000001,15918,1.1849000000000001,1.3133999999999999,1.1619999999999999,1.3629,1.4692000000000001
2006-01-31,9375,38.909999999999997,1.6212,15918,1.2173,1.2758,1.1432,1.3207,1.4592000000000001
2006-02-28,9183,39.109999999999999,1.6216999999999999,15910,1.1922999999999999,1.3115000000000001,1.1376999999999999,1.3453999999999999,1.5085999999999999
2006-03-31,9087,38.854999999999997,1.6158999999999999,15925,1.2118,1.3042,1.1686000000000001,1.3960999999999999,1.6217999999999999
2006-04-28,8793,37.520000000000003,1.5809,15940,1.2635000000000001,1.2387999999999999,1.117,1.3153999999999999,1.5696000000000001
2006-05-31,9255,38.109999999999999,1.5768,15958,1.2828999999999999,1.2165999999999999,1.1027,1.3281000000000001,1.5706
2006-06-30,9263,38.159999999999997,1.5834999999999999,15996,1.2790999999999999,1.2231000000000001,1.117,1.3467,1.6415
2006-07-31,9070,37.840000000000003,1.579,16006,1.2766,1.2315,1.1315,1.3053999999999999,1.6221000000000001
2006-08-31,9079,37.579999999999998,1.5737000000000001,16014,1.2795000000000001,1.2332000000000001,1.1069,1.3117000000000001,1.5239
2006-09-29,9220,37.575000000000003,1.5861000000000001,16055,1.2674000000000001,1.2505999999999999,1.1180000000000001,1.3395999999999999,1.5302
2006-10-31,9110,36.719999999999999,1.5573999999999999,16075,1.2769999999999999,1.2421,1.1220000000000001,1.2902,1.4910000000000001
2006-11-30,9148,35.895000000000003,1.5396000000000001,16070,1.3254999999999999,1.1975,1.1414,1.2677,1.4601
2006-12-29,8994,36.075000000000003,1.5344,16056,1.3197000000000001,1.2201,1.1657999999999999,1.2685,1.4211
2007-01-31,9100,35.814999999999998,1.5364,16040,1.3008999999999999,1.246,1.1794,1.2922,1.4579
2007-02-28,9132,35.505000000000003,1.528,15994,1.3228,1.2189000000000001,1.1705000000000001,1.2676000000000001,1.4257
2007-03-30,9120,35.020000000000003,1.5165,16020,1.3354999999999999,1.2156,1.1539999999999999,1.234,1.397
2007-04-30,9083,34.773000000000003,1.5196000000000001,16046,1.3668,1.2057,1.1073999999999999,1.2019,1.3478000000000001
2007-05-31,8827,34.625,1.5310999999999999,16090,1.3447,1.2258,1.0701000000000001,1.2098,1.3587
2007-06-29,9005,34.524999999999999,1.5304,16130,1.3541000000000001,1.2216,1.0653999999999999,1.1762999999999999,1.2948
2007-07-31,9205,33.774999999999999,1.5147999999999999,16140,1.3693,1.2035,1.0640000000000001,1.1645000000000001,1.2972999999999999
2007-08-31,9385,34.310000000000002,1.5254000000000001,16240,1.363,1.2083999999999999,1.0557000000000001,1.2253000000000001,1.4298999999999999
2007-09-28,9115,34.274999999999999,1.4843,16086,1.4267000000000001,1.1637999999999999,0.99229999999999996,1.1289,1.3218000000000001
2007-10-31,9092,33.984999999999999,1.4487000000000001,16081,1.4464999999999999,1.1591,0.95009999999999994,1.0795999999999999,1.3009999999999999
2007-11-30,9317,33.847999999999999,1.4463999999999999,16045,1.4633,1.1317999999999999,0.99870000000000003,1.1325000000000001,1.3104
2007-12-31,9393,33.685000000000002,1.4383999999999999,16017,1.4582999999999999,1.1359999999999999,0.99109999999999998,1.1404000000000001,1.3049999999999999
2008-01-31,9245,33.015000000000001,1.4172,15971,1.4849000000000001,1.0827,1.0032000000000001,1.1161000000000001,1.2688999999999999
2008-02-29,9114,31.475000000000001,1.3936999999999999,15931,1.5179,1.0412999999999999,0.98780000000000001,1.0681,1.2452000000000001
2008-03-31,9205,31.425000000000001,1.3801000000000001,16110,1.5809,0.99219999999999997,1.0273000000000001,1.0947,1.2707999999999999
2008-04-30,9231,31.620000000000001,1.3574999999999999,16122,1.5570999999999999,1.0403,1.0085,1.0603,1.2775000000000001
2008-05-30,9285,32.439999999999998,1.3633999999999999,16246,1.5555000000000001,1.0423,0.99339999999999995,1.0466,1.276
2008-06-30,9226,33.460000000000001,1.361,16842,1.5736000000000001,1.0208999999999999,1.0181,1.0449999999999999,1.3146
2008-07-31,9095,33.564999999999998,1.3675999999999999,16765,1.5590999999999999,1.0482,1.0249999999999999,1.0621,1.3627
2008-08-29,9148,34.198,1.4181999999999999,16525,1.4674,1.1012999999999999,1.0637000000000001,1.1669,1.4313
2008-09-30,9590,33.825000000000003,1.4346000000000001,16714,1.4066000000000001,1.1220000000000001,1.0598000000000001,1.2654000000000001,1.4942
2008-10-31,10850,34.994999999999997,1.4827999999999999,16825,1.2726,1.1578999999999999,1.2124999999999999,1.5047999999999999,1.7129000000000001
2008-11-28,12025,35.469999999999999,1.512,16972,1.2690999999999999,1.2136,1.2399,1.5253000000000001,1.8188
2008-12-31,11120,34.759999999999998,1.4354,17483,1.3951,1.0688,1.2170000000000001,1.419,1.7051000000000001
2009-01-30,11375,34.969999999999999,1.5098,17484,1.2813000000000001,1.1618999999999999,1.2296,1.5692999999999999,1.9645999999999999
2009-02-27,12000,36.189999999999998,1.5468999999999999,17479,1.2668999999999999,1.1689000000000001,1.2763,1.5654999999999999,1.9955000000000001
2009-03-31,11700,35.490000000000002,1.5222,17797,1.3229,1.1433,1.2622,1.4436,1.7596000000000001
2009-04-30,10625,35.274999999999999,1.4782,17783,1.3209,1.1429,1.1969000000000001,1.3724000000000001,1.7656000000000001
2009-05-29,10295,34.340000000000003,1.4457,17775,1.4157999999999999,1.0669,1.0914999999999999,1.2504,1.5700000000000001
2009-06-30,10208,34.07,1.4486000000000001,17798,1.405,1.0849,1.1611,1.2384999999999999,1.5485
2009-07-31,9928,34.030000000000001,1.4392,17818,1.4257,1.0685,1.0775999999999999,1.1966000000000001,1.5115000000000001
2009-08-31,10105,34.015000000000001,1.4410000000000001,17817,1.4341999999999999,1.0579000000000001,1.0980000000000001,1.1868000000000001,1.4603999999999999
2009-09-30,9665,33.450000000000003,1.4075,17841,1.4642999999999999,1.0365,1.0689,1.1315999999999999,1.3812
2009-10-30,9585,33.454999999999998,1.4004000000000001,17857,1.4719,1.0263,1.0848,1.1115999999999999,1.3935
2009-11-30,9461,33.229999999999997,1.385,18485,1.4976,1.0064,1.0571999999999999,1.0962000000000001,1.4034
2009-12-31,9404,33.390000000000001,1.4048,18479,1.4331,1.0347999999999999,1.0458000000000001,1.1133999999999999,1.3773
2010-01-29,9353,33.188000000000002,1.4073,18437,1.3863000000000001,1.0606,1.0704,1.1315999999999999,1.4266000000000001
2010-02-26,9343,33.060000000000002,1.4064000000000001,19025,1.3631,1.0734999999999999,1.0517000000000001,1.1166,1.4322999999999999
2010-03-31,9100,32.335000000000001,1.3989,19069,1.3532999999999999,1.0511999999999999,1.0155000000000001,1.0894999999999999,1.4091
2010-04-30,9010,32.395000000000003,1.3707,18958,1.3293999999999999,1.0775999999999999,1.0179,1.0780000000000001,1.3762000000000001
2010-05-31,9175,32.509999999999998,1.4001999999999999,18980,1.2295,1.1558999999999999,1.0479000000000001,1.1860999999999999,1.4758
2010-06-30,9074,32.420000000000002,1.3974,19070,1.2257,1.0777000000000001,1.0620000000000001,1.1811,1.4510000000000001
2010-07-30,8949,32.240000000000002,1.3603000000000001,19080,1.3051999999999999,1.0411999999999999,1.0297000000000001,1.1060000000000001,1.3774
2010-08-31,9045,31.27,1.3544,19490,1.2688999999999999,1.0165999999999999,1.0666,1.1238999999999999,1.4354
2010-09-30,8908,30.344999999999999,1.3167,19490,1.3621000000000001,0.98089999999999999,1.0291999999999999,1.0356000000000001,1.3627
2010-10-29,8938,29.940000000000001,1.2936000000000001,19498,1.3947000000000001,0.98240000000000005,1.0194000000000001,1.0166999999999999,1.3047
2010-11-30,9041,30.210000000000001,1.3204,19498,1.3038000000000001,1.0015000000000001,1.0261,1.0411999999999999,1.3431999999999999
2010-12-31,8996,30.059999999999999,1.2834000000000001,19498,1.3384,0.93520000000000003,0.998,0.97719999999999996,1.2817000000000001
2011-01-31,9049,30.875,1.2793000000000001,19498,1.3697999999999999,0.94079999999999997,1.0019,1.0018,1.2939000000000001
2011-02-28,8821,30.594999999999999,1.2714000000000001,20878,1.3792,0.92959999999999998,0.97319999999999995,0.98250000000000004,1.3303
2011-03-31,8708,30.254999999999999,1.2602,20895,1.419,0.91579999999999995,0.9698,0.96540000000000004,1.3089
2011-04-29,8563,29.879999999999999,1.2243999999999999,20645,1.4806999999999999,0.86529999999999996,0.94510000000000005,0.91149999999999998,1.2346999999999999
2011-05-31,8543,30.315000000000001,1.2346999999999999,20545,1.4369000000000001,0.85340000000000005,0.96860000000000002,0.93869999999999998,1.2159
2011-06-30,8579,30.699999999999999,1.2283999999999999,20585,1.4513,0.84189999999999998,0.96409999999999996,0.93369999999999997,1.2105999999999999
2011-07-29,8504,29.754999999999999,1.2039,20595,1.4399,0.78559999999999997,0.95520000000000005,0.90959999999999996,1.1372
2011-08-31,8534,29.940000000000001,1.2033,20832,1.4410000000000001,0.80410000000000004,0.97699999999999998,0.93359999999999999,1.169
2011-09-30,8875,31.195,1.3072999999999999,20830,1.3387,0.90820000000000001,1.0503,1.0349999999999999,1.3133999999999999
2011-10-31,8853,30.699999999999999,1.2524,21009,1.3946000000000001,0.87209999999999999,0.99509999999999998,0.94340000000000002,1.2306999999999999
2011-11-30,9113,30.875,1.2822,21006,1.3448,0.91139999999999999,1.0185999999999999,0.97529999999999994,1.2850999999999999
2011-12-30,9069,31.550000000000001,1.2966,21034,1.2961,0.93810000000000004,1.0213000000000001,0.97960000000000003,1.2866
2012-01-31,8998,30.91,1.2574000000000001,21005,1.3070999999999999,0.92110000000000003,1.0042,0.94320000000000004,1.2108000000000001
2012-02-29,9023,30.460000000000001,1.2476,20825,1.3357000000000001,0.90249999999999997,0.98660000000000003,0.92810000000000004,1.1913
2012-03-30,9146,30.824999999999999,1.2577,20850,1.3343,0.90249999999999997,0.99870000000000003,0.96660000000000001,1.2219
2012-04-30,9177,30.739999999999998,1.2372000000000001,20865,1.3229,0.90820000000000001,0.98760000000000003,0.95960000000000001,1.2230000000000001
2012-05-31,9480,31.818000000000001,1.2877000000000001,20870,1.2363,0.97150000000000003,1.0329999999999999,1.0273000000000001,1.3259000000000001
2012-06-29,9433,31.559999999999999,1.2650999999999999,20905,1.2666999999999999,0.9486,1.0165999999999999,0.9768,1.2479
2012-07-31,9467,31.524999999999999,1.2444,20870,1.2305999999999999,0.97609999999999997,1.0024999999999999,0.95120000000000005,1.2338
2012-08-31,9572,31.295000000000002,1.2474000000000001,20840,1.2579,0.95489999999999997,0.98629999999999995,0.96879999999999999,1.2446999999999999
2012-09-28,9591,30.829999999999998,1.2274,20885,1.286,0.93979999999999997,0.98370000000000002,0.96350000000000002,1.2047000000000001
2012-10-31,9624,30.684999999999999,1.2198,20850,1.2969999999999999,0.93079999999999996,0.99970000000000003,0.96330000000000005,1.2157
2012-11-30,9618,30.710000000000001,1.2202,20850,1.2986,0.92810000000000004,0.99439999999999995,0.95899999999999996,1.2189000000000001
2012-12-31,9793,30.581,1.2216,20840,1.3197000000000001,0.91469999999999996,0.99490000000000001,0.96309999999999996,1.2101999999999999
2013-01-31,9744,29.853000000000002,1.2375,20840,1.3585,0.90869999999999995,0.99719999999999998,0.95809999999999995,1.1903999999999999
2013-02-28,9669,29.773,1.2372000000000001,20955,1.3084,0.93379999999999996,1.0294000000000001,0.97660000000000002,1.2084999999999999
2013-03-29,9735,29.265000000000001,1.2403,20935,1.2819,0.94920000000000004,1.0174000000000001,0.95979999999999999,1.1946000000000001
